<item:,Registry name,:,Meta,:,Amount,:,Weight,:,NBT,> : ,EMC,","
<item:,"Set the Amount to the blind box it should be in : 200 = cheap, 150 = decent, 100 = good, 50 = amazing",,,,,,,,,> : ,,","
<item:,a_man_with_plushies:allay_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:angry_baldi_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:angry_baldi_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:audino_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:audino_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:badeline_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:badeline_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:baldi_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:baldi_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:bandaga_girl_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:bandage_girl_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:black_crewmate_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:black_crewmate_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:black_sheep_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:black_sheep_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_almost_full_egg_holder_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_almost_full_egg_holder_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_egg_holder_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_egg_holder_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_full_egg_holder_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_full_egg_holder_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blissey_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blu_heavy_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blu_heavy_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_crewmate_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_crewmate_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_pikmin_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_pikmin_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_pikmin_sprout,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_pikmin_sprout_plant,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_sheep_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:blue_sheep_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:brown_crewmate_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:brown_crewmate_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:brown_mooshroom_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:brown_mooshroom_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:brown_sheep_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:brown_sheep_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:candy_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:candy_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:carrot_eating_pufferfish_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_blue_knight_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_blue_knight_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_gray_knight_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_gray_knight_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_green_knight_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_green_knight_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_orange_knight_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_orange_knight_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_red_knight_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cc_red_knight_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:chicken_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:chicken_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cindy_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cindy_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:companion_block_plushie,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cow_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cow_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:crabster_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:crabster_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:creeper_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:creeper_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:crewmate_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:crewmate_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cuphead_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cuphead_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cyan_crewmate_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cyan_crewmate_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cyan_sheep_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:cyan_sheep_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:enderman_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:enderman_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:enderman_plush_with_block,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:enderman_plush_with_block_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:fall_guy_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:fall_guy_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:female_indeedee_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:female_indeedee_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:fredbear_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:fredbear_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:freddy_fazbear_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:freddy_fazbear_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:fully_puffed_pufferfish_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:gd_cube_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:gdm_cube_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:gds_cube_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:ghast_attacking_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:ghast_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:glados_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:glados_plush_lying_down,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:golden_freddy_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:golden_freddy_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:golden_plush_box,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:goose_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:goose_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:gray_sheep_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:gray_sheep_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:green_crewmate_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:green_crewmate_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:green_sheep_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:green_sheep_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:happycane_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:happycane_plush_standing,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:headcrab_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:heavy_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:heavy_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:henry_stickmin_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:henry_stickmin_plush_sitting,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:henry_stickmin_toppat_leader_plush,:,0,:,,:,,,,> : ,,","
<item:,a_man_with_plushies:henry_stickmin_toppat_leader_plush_sitting,:,0,:,,:,,,,> : ,,","
