"Mod name","Registry name","Item ID","Display name"
"A Man With Plushies","a_man_with_plushies:allay_plush",39228,"§9§lAllay Plushie"
"A Man With Plushies","a_man_with_plushies:angry_baldi_plush",39321,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:angry_baldi_plush_sitting",39430,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:audino_plush",39273,"§e§lAudino Plushie"
"A Man With Plushies","a_man_with_plushies:audino_plush_standing",39432,"§e§lAudino Plushie"
"A Man With Plushies","a_man_with_plushies:badeline_plush",39443,"§a§lBadeline Plushie"
"A Man With Plushies","a_man_with_plushies:badeline_plush_sitting",39445,"§a§lBadeline Plushie"
"A Man With Plushies","a_man_with_plushies:baldi_plush",39254,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:baldi_plush_sitting",39429,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:bandaga_girl_plush_sitting",39383,"§9§lBandage Girl Plushie"
"A Man With Plushies","a_man_with_plushies:bandage_girl_plush",39298,"§9§lBandage Girl Plushie"
"A Man With Plushies","a_man_with_plushies:black_crewmate_plush",39290,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:black_crewmate_plush_sitting",39365,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:black_sheep_plush",39315,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:black_sheep_plush_sitting",39422,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_almost_full_egg_holder_plush",39357,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_almost_full_egg_holder_plush_standing",39435,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_egg_holder_plush",39356,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_egg_holder_plush_standing",39434,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_full_egg_holder_plush",39358,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_full_egg_holder_plush_standing",39436,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_plush",39255,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_plush_standing",39433,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blu_heavy_plush",39296,"§e§lHeavy Weapons Guy Plushie"
"A Man With Plushies","a_man_with_plushies:blu_heavy_plush_sitting",39372,"§e§lHeavy Weapons Guy Plushie"
"A Man With Plushies","a_man_with_plushies:blue_crewmate_plush",39285,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:blue_crewmate_plush_sitting",39360,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_plush",39328,"§9§lPikmin Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_plush_standing",39442,"§9§lPikmin Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_sprout",39333,"§9§lPikmin Plushie"
"A Man With Plushies","a_man_with_plushies:blue_pikmin_sprout_plant",39332,"Blue Pikmin Sprout"
"A Man With Plushies","a_man_with_plushies:blue_sheep_plush",39311,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:blue_sheep_plush_sitting",39418,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:brown_crewmate_plush",39293,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:brown_crewmate_plush_sitting",39368,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:brown_mooshroom_plush",39318,"§a§lMooshroom Plushie"
"A Man With Plushies","a_man_with_plushies:brown_mooshroom_plush_sitting",39426,"§a§lMooshroom Plushie"
"A Man With Plushies","a_man_with_plushies:brown_sheep_plush",39312,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:brown_sheep_plush_sitting",39419,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:candy_plush",39267,"§e§lCandy Plushie"
"A Man With Plushies","a_man_with_plushies:candy_plush_standing",39386,"§e§lCandy Plushie"
"A Man With Plushies","a_man_with_plushies:carrot_eating_pufferfish_plush",39354,"§9§lPufferfish Plushie"
"A Man With Plushies","a_man_with_plushies:cc_blue_knight_plush",39282,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_blue_knight_plush_sitting",39391,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_gray_knight_plush",39284,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_gray_knight_plush_sitting",39393,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_green_knight_plush",39251,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_green_knight_plush_sitting",39389,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_orange_knight_plush",39283,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_orange_knight_plush_sitting",39392,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_red_knight_plush",39281,"§a§lCastle Crashers Knight Plushie"
"A Man With Plushies","a_man_with_plushies:cc_red_knight_plush_sitting",39390,"§a§lCastle Crashers Knight Plushie"
