"Mod name","Registry name","Item ID","Display name"
"A Man With Plushies","a_man_with_plushies:allay_plush",40338,"§9§lAllay Plushie"
"A Man With Plushies","a_man_with_plushies:angry_baldi_plush",40431,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:angry_baldi_plush_sitting",40540,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:audino_plush",40383,"§e§lAudino Plushie"
"A Man With Plushies","a_man_with_plushies:audino_plush_standing",40542,"§e§lAudino Plushie"
"A Man With Plushies","a_man_with_plushies:badeline_plush",40553,"§a§lBadeline Plushie"
"A Man With Plushies","a_man_with_plushies:badeline_plush_sitting",40555,"§a§lBadeline Plushie"
"A Man With Plushies","a_man_with_plushies:baldi_plush",40364,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:baldi_plush_sitting",40539,"§a§lBaldi Plushie"
"A Man With Plushies","a_man_with_plushies:bandaga_girl_plush_sitting",40493,"§9§lBandage Girl Plushie"
"A Man With Plushies","a_man_with_plushies:bandage_girl_plush",40408,"§9§lBandage Girl Plushie"
"A Man With Plushies","a_man_with_plushies:black_crewmate_plush",40400,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:black_crewmate_plush_sitting",40475,"§9§lCrewmate Plushie"
"A Man With Plushies","a_man_with_plushies:black_sheep_plush",40425,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:black_sheep_plush_sitting",40532,"§a§lSheep Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_almost_full_egg_holder_plush",40467,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_almost_full_egg_holder_plush_standing",40545,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_egg_holder_plush",40466,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_egg_holder_plush_standing",40544,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_full_egg_holder_plush",40468,"§a§lBlissey Plushie"
"A Man With Plushies","a_man_with_plushies:blissey_full_egg_holder_plush_standing",40546,"§a§lBlissey Plushie"
